Frame,Car_Count,Truck_Count,Bike_Count,Bus_Count,2_Wheeler_Count,3_Wheeler_Count,4_Wheeler_Count,6_Wheeler_Count,Other_Vehicles,Avg_Speed_kmh,Time_To_Cross_sec,Total_Vehicles,Total Vehicles,Vehicle Density
216,0,1,0,0,0,0,1,0,6,48.67512119,7.2,7,7,3.38E-06
217,0,0,0,1,0,0,0,1,6,53.87033213,7.233333333,7,6,2.89E-06
218,0,0,0,0,0,0,0,0,7,38.57917279,7.266666667,7,7,3.38E-06
219,0,0,0,0,0,0,0,0,7,34.83159903,7.3,7,7,3.38E-06
220,0,0,0,0,0,0,0,0,7,39.06061252,7.333333333,7,7,3.38E-06
221,0,0,0,0,0,0,0,0,7,35.19984339,7.366666667,7,7,3.38E-06
222,0,0,0,0,0,0,0,0,7,56.82506613,7.4,7,7,3.38E-06
223,0,0,0,0,0,0,0,0,7,40.04486246,7.433333333,7,7,3.38E-06
224,0,0,0,0,0,0,0,0,6,50.18099537,7.466666667,6,6,2.89E-06
225,0,0,0,0,0,0,0,0,6,41.95596264,7.5,6,6,2.89E-06
226,0,0,0,0,0,0,0,0,6,36.662544,7.533333333,6,6,2.89E-06
227,0,0,0,0,0,0,0,0,7,46.16944329,7.566666667,7,7,3.38E-06
228,0,1,0,0,0,0,1,0,7,35.01529048,7.6,8,8,3.86E-06
229,0,0,0,1,0,0,0,1,7,34.58422323,7.633333333,8,7,3.38E-06
230,0,0,0,0,0,0,0,0,8,38.89585708,7.666666667,8,8,3.86E-06
231,0,0,0,0,0,0,0,0,8,50.37092327,7.7,8,8,3.86E-06
232,0,0,0,0,0,0,0,0,8,56.84860005,7.733333333,8,8,3.86E-06
233,0,0,0,0,0,0,0,0,8,48.42784608,7.766666667,8,8,3.86E-06
234,0,0,0,0,0,0,0,0,8,51.22128073,7.8,8,8,3.86E-06
235,0,1,0,0,0,0,1,0,8,51.15014744,7.833333333,9,9,4.34E-06
236,0,0,0,1,0,0,0,1,8,32.35573422,7.866666667,9,8,3.86E-06
237,0,0,0,0,0,0,0,0,9,33.54026907,7.9,9,9,4.34E-06
238,0,0,0,0,0,0,0,0,8,33.83060396,7.933333333,8,8,3.86E-06
239,0,0,0,0,0,0,0,0,8,52.76760564,7.966666667,8,8,3.86E-06
240,0,1,0,0,0,0,1,0,8,32.65750468,8,9,9,4.34E-06
241,0,0,0,1,0,0,0,1,8,45.35763263,8.033333333,9,8,3.86E-06
242,0,0,0,0,0,0,0,0,9,48.71408135,8.066666667,9,9,4.34E-06
243,0,0,0,0,0,0,0,0,9,49.72667721,8.1,9,9,4.34E-06
244,0,0,0,0,0,0,0,0,9,55.33925634,8.133333333,9,9,4.34E-06
245,0,1,0,0,0,0,1,0,9,34.78361319,8.166666667,10,10,4.82E-06
246,0,0,0,1,0,0,0,1,9,44.2398853,8.2,10,9,4.34E-06
247,0,0,0,0,0,0,0,0,10,49.4996487,8.233333333,10,10,4.82E-06
248,0,0,0,0,0,0,0,0,10,42.27989598,8.266666667,10,10,4.82E-06
249,0,0,0,0,0,0,0,0,10,43.90160038,8.3,10,10,4.82E-06
250,0,0,0,0,0,0,0,0,9,37.48625177,8.333333333,9,9,4.34E-06
251,0,1,0,0,0,0,1,0,9,36.47750423,8.366666667,10,10,4.82E-06
252,0,0,0,1,0,0,0,1,9,39.40105386,8.4,10,9,4.34E-06
253,0,0,0,0,0,0,0,0,10,48.58878411,8.433333333,10,10,4.82E-06
254,0,0,0,0,0,0,0,0,10,37.68029799,8.466666667,10,10,4.82E-06
255,0,0,0,0,0,0,0,0,10,54.13523872,8.5,10,10,4.82E-06
256,0,0,0,0,0,0,0,0,10,38.22826054,8.533333333,10,10,4.82E-06
257,0,0,0,0,0,0,0,0,10,56.93502278,8.566666667,10,10,4.82E-06
258,0,0,0,0,0,0,0,0,10,55.79080949,8.6,10,10,4.82E-06
